NAME,% Graduated in 4 Years,% Grade Nine Passing All Courses,Median Household Income ,% With No Internet Access at Home
Nantucket School District,95.9,81.2,119750,0.016244057
Narragansett School District,90.9,73.6,101600,0.066770996
Nashoba School District,94.1,95.5,165333,0.01369863
Natick School District,95.9,93.5,134591,0.044324745
Needham School District,98.7,97.4,212241,0.036049469
New Bedford School District,78.6,46.6,56025,0.121468993
Newburyport School District,95.9,92.2,144259,0.044917864
Newton School District,96.1,96.2,184989,0.023699968
North Adams School District,72.6,67.5,48521,0.081381225
North Andover School District,96.5,88.2,134319,0.029164135
North Attleborough School District,91.6,90.8,109426,0.031116297
North Brookfield School District,66.7,44.8,81010,0.150764365
North Middlesex School District,95,93,120803,0.028181516
North Reading School District,95,99.4,150820,0.018954918
Northampton School District,94.7,96.3,78467,0.042238901
Northbridge School District,88.6,78.8,103355,0.063893016
Norton School District,92.5,91.4,127404,0.052759988
Norwell School District,98,99.3,182637,0.017567939
Norwood School District,93.8,84.9,97110,0.043537108
Oxford School District,80.9,68.8,104000,0.065956575
Palmer School District,84.2,55.6,78789,0.065993509
Peabody School District,82.7,57.7,95278,0.057189906
Pembroke School District,95,97,141332,0.038115632
Pentucket School District,94.5,96.9,136609,0.022746659
Pioneer Valley School District,92.3,90.9,95455,0.063655761
Pittsfield School District,83.7,65.6,68386,0.082898906
Plymouth School District,95.2,78.4,111975,0.035628534
Provincetown School District,,,104500,0.071288102
Quincy School District,92.8,81.6,95711,0.050251256
Randolph School District,76.6,50.7,103129,0.052802407
Reading School District,97,95.4,163725,0.039795279
Revere School District,82.3,48.4,81121,0.091762737
Rockland School District,92.8,75.4,101475,0.048784149
Rockport School District,93.8,98.2,93227,0.054857493
Salem School District,80.6,59.6,85137,0.07327303
Sandwich School District,97,90.2,118799,0.020503953
Saugus School District,87.1,73.3,100819,0.060274741
Scituate School District,95.4,98.8,131861,0.030769231
Seekonk School District,95.7,85.2,116310,0.059859757
Sharon School District,97.2,92.7,183724,0.033157732
Shrewsbury School District,93.9,91.7,136225,0.031706645
Somerville School District,85.9,76.3,127056,0.049848985
South Hadley School District,93.9,79.6,93646,0.051614684
Southbridge School District,66.4,59.3,59397,0.109564498
Southern Berkshire School District,90.2,84.2,94740,0.072459411
Springfield School District,83.1,53.8,51339,0.124384109
Stoneham School District,92.8,96,112635,0.042752101
Stoughton School District,90,62.8,104164,0.055611822
Sutton School District,96.7,98.9,156215,0.078226055
Swampscott School District,92,94.2,128964,0.028267429
Swansea School District,89.1,80,116627,0.091529447
Taunton School District,89.7,67.2,79715,0.092706631
Tewksbury School District,94.1,94.7,125966,0.046090673
Triton School District,91.4,82.3,123739,0.047177108
Tyngsborough School District,92.8,94.1,144375,0.002397507
Uxbridge School District,80.6,92.5,127083,0.035251142
Wachusett School District,93.4,92.5,142763,0.025037982
Wakefield School District,96.1,79.9,130320,0.059099946
Walpole School District,92.3,92,159720,0.037151703
Waltham School District,79.7,68.1,116560,0.051164418
Ware School District,76.6,52.7,69666,0.068404635
Wareham School District,79.2,48.3,82741,0.050392044
Quaboag Regional School District,88.5,82.2,70873,0.037276728
Watertown School District,84.9,73.7,123422,0.039851943
Wayland School District,99.5,98.5,221250,0.017582862
